station_number,easting,northing,station_order
S35602,282712,275488,1
S32484,281472,274764,2
S35769,281450,274850,3
S35770,281409,274747,4
S35771,281354,274744,5
S35772,281200,274850,6
S35763,281019,274780,7
S35764,280985,274792,8
S35636,280963,274805,9
S35765,280962,274753,10
S35767,280572,274628,11
S35635,280562,274650,12
S35768,280571,274576,13
S35700,280483,274696,14
S35760,280492,274555,15
S35633,280474,274583,16
S34603,280497,274482,17
S35632,280478,274490,18
S35762,280426,274518,19
S35761,280353,274441,20
S35699,280335,274493,21
S35631,280309,274501,22
S35698,280259,274476,23
S35634,280231,274575,24
S35630,280146,274417,25
S35629,280109,274405,26
S35628,280059,274354,27
S82001,278885,273756,28
S35644,278899,273717,29
S82000,276750,273072,30
S35677,274400,272700,31
S35604,274100,272700,32
S100217,273900,272500,33
S35663,273600,272100,34
S35666,272915,271843,35
S6320044,272440,272197,36
S35668,272440,272210,37
S6320045,271898,272179,38
S35607,271520,272020,39
S35664,270560,272000,40
S6320046,269401,271703,41
S6320047,268971,271577,42
S35608,268694,271388,43
S35616,266900,272900,44
S100153,266600,273700,45
S35592,263592,275027,46
S35596,262367,275465,47
S35610,261900,275700,48
S82007,259200,277600,49
S100188,259138,277647,50
S35601,259024,277743,51
S82002,258871,278796,52
S100477,259085,279021,53
S83795,259000,279100,54
S82008,258400,279500,55
S35612,257980,280680,56
S39091,257942,281314,57
